"ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE"
"11740941","126515.96952","87545","16445","1.4044972630146"
"11740923","78940.47849","26762","7151","1.4363580856961"
"11680016","72298.68816","11766","290","5.9415404696481"
"11610106","59209.60202","6200","2272","9.4903980796961"
"11686823","55806.38884","16244","5800","3.1285156108681"
"11741143","44282.30567","8602","3515","5.1449757039250"
"11685694","43996.07196","4472","2505","8.2482657787390"
"11740964","40649.78793","9287","3424","3.8391838162059"
"12518517","39994.93839","4771","1252","7.0384945838959"
"11696675","39570.41129","4207","2320","8.9769525145332"
"11743201","38774.64965","17379","6173","1.9545377307644"
"11611881","37650.79929","15657","5537","2.3998577650061"
"11741127","33671.72695","6419","2792","5.2670372886160"
"11741816","32687.76968","9866","3842","3.0089234683127"
"11686839","31361.93919","8692","3493","3.2250576531710"
"14388093","30793.58502","3395","1501","8.4940498167748"
"11741274","29152.35964","15394","5320","1.1045222470686"
"11742966","28776.47994","13197","3711","2.0269444516065"
"11745837","28387.55971","12293","4681","2.3022201591385"
"13881134","26841.30229","3239","1543","7.9206030040198"
"11832850","26532.83014","2966","1280","8.3064581806680"
"11639874","25791.17197","2811","1495","8.8716042420889"
"11742736","24824.71947","11915","4525","2.0754630054806"
"11742461","24803.06974","9891","3701","2.4853654601496"
"11600537","24395.59869","6030","2773","3.5927577004823"
"11696680","24269.21699","4182","1954","5.2058957960038"
"11659747","23618.24947","7260","2368","2.6082910967664"
"11740989","23356.92951","6594","2476","2.9996585738403"
"11600129","22686.28956","7807","2788","2.8921982726088"
"11675064","22611.79774","3893","1016","5.5184997603497"
"13797916","22274.70992","5545","2361","3.9722039070989"
"11675055","21853.84803","3775","959","5.5189546057514"
"11697918","21466.73998","8264","3415","2.3165812736192"
"11742360","21400.60983","11708","4497","1.8181925140521"
"12762899","20599.04923","5103","2311","3.3423164384819"
"11673668","20154.58434","2734","1176","6.2489679637594"
"11696659","20031.70730","3287","1528","5.5705294262582"
"11662192","19938.80902","2154","946","8.6071001525070"
"11741019","19328.93080","2718","1341","7.1540170628207"
"11746238","19221.99915","4594","1150","3.6658363581537"
"11701521","19217.60952","7342","2600","1.6530490027195"
"11608903","18933.01938","3595","1766","5.1360963229312"
"11746233","18587.46946","4712","1118","3.6642370641461"
"11676841","18558.24641","2801","1151","5.4181765149982"
"11621670","18428.11984","6362","2675","2.5754683750590"
"11746232","17374.17924","4329","1206","3.6624159204440"
"11745182","16817.76895","2431","751","6.7089934699341"
"13960220","16699.06809","4650","1687","3.4354869142116"
"11675063","16672.35832","2868","738","5.5090189249564"
"11659745","16593.71976","5043","1629","2.6351944385051"
"11712767","16530.65987","4332","1321","3.6715942606285"
"11702769","16476.70843","3002","1321","4.9849041957217"
"11668067","16428.91967","4678","1616","3.0194615634105"
"11599868","16131.21999","6388","2946","2.4932094485039"
"11612558","16111.68000","6518","2954","2.3878296956655"
"11743679","16053.58923","3542","1733","4.5823743922315"
"11668104","15858.91981","4534","1719","2.9655216965784"
"11697902","15489.77999","8383","3576","1.6717701170429"
"11832856","15446.01916","3261","1444","4.3165417743170"
"12788250","15199.82995","3424","1539","4.3095034606149"
"11677203","15077.15869","3178","1282","4.7619034570996"
"11675059","14815.47873","2567","553","5.5213549528872"
"15065940","14812.07943","2641","1358","5.2749309717268"
"11696651","14539.36637","1517","907","9.3118677878484"
"11698026","14409.98977","3411","1481","4.0337294167891"
"14423037","14159.26944","2126","657","6.5037135266384"
"11682375","13827.27771","2513","1000","4.5963649203835"
"12161360","13746.80723","1549","637","8.7501988673997"
"11629829","13688.54994","5517","1993","0.6392665342242"
"11600749","13594.42995","5612","2736","2.3016770668242"
"11697985","13565.08374","1743","952","6.6557331767415"
"11842659","13341.59932","1398","707","9.2204207137733"
"13009827","13190.39952","2238","631","5.7389518917710"
"11712740","13068.12952","3365","1040","3.6625418606070"
"11746191","12981.40797","2382","1249","4.5342868826123"
"11696669","12899.65753","1915","865","6.0724418583245"
"11746235","12870.60000","5397","1658","2.2800000000000"
"14905344","12623.02981","2388","911","4.8357990230898"
"12635005","12583.83857","2431","1194","4.4863225612713"
"11650611","12564.56965","1924","812","6.4725745638021"
"11746231","12420.03999","5189","1496","2.2794415489288"
"12187228","12286.76979","3002","1293","3.8328544358739"
"14567596","11866.03916","2194","1119","4.9440131855023"
"11743876","11807.74982","3394","1291","3.3746589469444"
"11742219","11673.85998","7723","3206","1.5176641380212"
"11717359","11654.31966","2171","785","4.9547333197326"
"11635293","11608.59956","1674","1001","6.7870551637620"
"15066444","11291.71958","1990","1048","5.4586446921717"
"11731397","11243.47960","1860","738","6.0923903176796"
"12906968","11114.23823","1584","610","6.4236776891208"
"11750434","11043.79542","1601","635","3.5138843963184"
"11972270","11025.36975","3308","813","3.0319608068995"
"11742256","11020.78998","8771","3553","1.1691036315059"
"11712769","10936.45966","2801","820","3.6679309144643"
"14567807","10904.47944","2026","1067","4.9995174099333"
"11742393","10860.95978","4945","2214","2.1906296139531"
"12913750","10844.72977","2076","683","4.8926717197299"
"11855813","10819.88970","1735","639","6.1594822084296"
"12750654","10691.68984","2413","1046","4.1425964060556"
"11645974","10569.71974","2141","634","4.7961948840206"
"14340226","10541.99347","1194","499","8.0859880058725"
"11743676","10499.78977","2666","1432","3.8050831388368"
"11743933","10395.23000","5180","1987","0.6305759162304"
"11740296","10361.83987","4362","1460","2.3028186291610"
"11645976","10338.41980","2073","572","4.8018507358900"
"11697904","10334.71999","3653","1629","2.5239400157491"
"11741282","10312.40988","6460","2520","0.8502198069620"
"14567659","10256.79899","1895","1042","4.8306142288472"
"11700004","10245.89989","3673","664","2.6780665323682"
"13009825","10225.63998","2161","618","4.5997928235158"
"11613507","10221.15789","1691","767","5.2611539233728"
"12741292","10191.41986","1276","563","7.9571428021978"
"11701728","10136.55998","5809","2634","1.7501232503915"
"11698970","9947.70852","1777","822","4.8091733040524"
"11746136","9938.17821","1694","470","5.2929754078791"
"11621883","9855.71970","2310","1245","3.3526862556399"
"11616783","9840.26997","2178","779","4.3504954705476"
"11657048","9809.61233","1008","410","9.3111522587065"
"11633904","9752.80986","2905","1265","3.2215566568489"
"11838638","9669.30963","2174","887","4.1754012130996"
"11746124","9622.79995","1827","604","4.9528255616438"
"12472025","9613.05971","2468","1161","3.1961074687246"
"11752725","9532.97984","3605","1028","2.1641437896302"
"11602754","9514.70965","2380","718","3.3541226100840"
"14498035","9499.41967","1722","805","5.4384246470245"
"14340248","9444.32171","1065","428","8.3940042880639"
"11740420","9329.11997","3885","1486","2.3916249294440"
"14211508","9315.86823","1567","586","5.0932081783808"
"11744267","9278.48802","1436","456","5.7007977639470"
"11745914","9262.74972","4173","1926","1.1102366541166"
"11745088","9190.25957","1558","580","5.7623162845215"
"11660920","9178.98989","2418","913","3.4045660437396"
"12788252","9121.81952","1508","664","5.8990522351765"
"11746237","9099.48000","3763","1119","2.2800000000000"
"11698908","9092.87604","1201","637","6.5924989804167"
"11683917","9074.48967","1693","878","5.0740764025724"
"11702379","8991.25983","3300","1370","2.6942349802549"
"11746188","8967.44897","1664","835","4.7500957594937"
"14889792","8906.67974","2040","1041","4.0890520221784"
"11649813","8868.32977","3711","923","1.5013606839594"
"11735921","8799.60989","2860","1279","2.9383675473553"
"11742373","8778.29989","4228","1927","2.0943779721956"
"11686818","8736.62991","2326","945","3.6221016256460"
"11686251","8722.66591","995","548","7.7369776971831"
"14065552","8694.06248","908","400","9.2399736976872"
"14376833","8640.51994","2103","987","3.8427079285714"
"12159371","8526.75995","2356","921","3.3946515023374"
"11745163","8498.86945","1349","399","6.0909023775964"
"11746246","8402.95956","2083","602","3.6327389475962"
"11687029","8365.96566","837","345","9.8279161290323"
"11699376","8251.41732","1193","675","6.1317991071517"
"13789486","8236.45980","1381","502","5.8989824854651"
"11613509","8232.97806","1436","654","4.9361852133891"
"11743118","8217.58979","1424","543","5.7135209218860"
"11677975","8114.49978","2739","1495","2.7436982803114"
"13797778","8083.98910","1317","472","5.8257378158295"
"15060914","7968.26988","1737","764","4.1990802436636"
"11740890","7953.92995","3210","1239","2.4735703762008"
"12406002","7942.88250","886","431","8.7427890407701"
"11894374","7942.28972","1967","978","3.6838044079817"
"11702684","7935.45399","869","525","9.0009082525952"
"11698114","7928.28861","1568","540","3.9328496536756"
"11610108","7853.70501","909","452","8.5727295297357"
"12577750","7833.44231","820","368","9.1478612864137"
"11689531","7812.20975","1530","803","4.5810303567408"
"13966754","7764.46769","787","431","9.6734197802548"
"11687104","7711.80989","1734","833","4.1894287160992"
"11742603","7697.20994","5237","2133","1.4752596203307"
"11972326","7634.54979","2430","683","2.8283676902475"
"12156017","7537.62346","798","380","9.1929285651629"
"11742670","7487.17993","4375","1718","1.7252753204535"
"11686811","7428.28989","1826","808","3.8256352491785"
"14043843","7388.40000","1752","863","4.1505228571429"
"11728785","7378.79000","3511","1662","2.1165094882116"
"11749110","7365.43996","2212","1041","2.9138924005425"
"11659751","7326.70979","2119","954","2.6333781859065"
"11617596","7308.51993","1777","765","3.8372833124647"
"11741054","7301.19983","1894","999","3.0996687607313"
"11746226","7242.15999","3053","814","2.2795250599146"
"11665774","7230.98990","1755","1110","3.9805321014823"
"15232272","7226.38965","2800","881","1.7941433540846"
"12788247","7220.67986","1455","677","4.8587154247238"
"11742303","7210.87999","2409","876","2.7699044042668"
"11667876","7170.23353","788","345","8.9503352522436"
"12193406","7146.98992","775","274","9.1940361707633"
"11731777","7123.64935","1379","502","5.0503043650218"
"11660553","7100.56994","1857","792","3.4315673908944"
"12499413","7091.70838","839","543","8.3173580348558"
"14370456","7058.94992","2005","735","3.3448327383924"
"11740615","6987.00991","2553","1147","2.6919709026221"
"11702687","6981.38546","812","495","7.6599722513354"
"11683922","6949.75968","1296","695","5.0144615166151"
"11635275","6949.06691","709","451","9.6941459135977"
"11653805","6939.03980","902","432","7.5852406333333"
"14237874","6927.05968","987","600","6.8400574720244"
"11746227","6924.31961","1766","432","3.6440286278409"
"11742323","6895.37996","2603","800","2.4103415475732"
"14388091","6890.74836","930","417","6.8383663614101"
"11666579","6843.66983","1244","774","5.0129547632957"
"11832825","6831.80897","1143","554","5.3511067620508"
"11743793","6750.61997","3630","1521","1.7358638797370"
"11744784","6738.36994","2470","1179","2.8235320256087"
"11603103","6719.99836","1982","32","1.9752241761566"
"13789482","6707.15976","1092","482","6.0316253116407"
