CUSTOMER_SK,NO_OF_PRODUCT,DISTINCT_PRODUCT,TOTAL_REVENUE,NO_OF_VISIT,AVERAGE_PRICE,PERCENTAGE_BASKETS_WEEKEND
1,1342702,28468,4804677.631,369037,3.372128658,1.086
37143973,1293,545,6194.90862,68,3.877448453,1.5294
60434066,1248,555,6068.58859,79,3.920600921,1.443
64947261,1210,289,5760.74962,205,3.810395793,1.3415
64593270,1401,766,5619.1092,138,3.747503678,2.8188
28313518,802,401,5123.06845,29,4.470073835,10.7586
61056436,807,408,5045.31831,25,4.266839173,20.68
59564026,1035,527,4734.23892,37,4.113467778,19.7568
59427755,902,320,4640.33894,23,4.377443575,10.7826
40180526,1328,439,4587.13994,80,3.309427947,9.45
61044591,1016,449,4347.7692,51,3.858535023,5.5098
28210412,971,448,4328.36926,34,4.082665562,6.8824
21159049,954,570,4262.59923,51,4.167735544,6.4314
59564457,764,348,4243.6889,104,4.659998709,1.375
22283241,839,482,4157.08901,31,4.496663551,18.8387
59428177,962,567,4140.61963,44,4.068162492,0.9318
52236223,1037,578,4135.97949,140,3.797451949,1.8571
21155117,921,402,4128.70953,53,3.935230658,2.9245
21703010,839,457,4063.00906,50,4.127554982,3.4
59427796,897,408,3982.31922,44,3.719779809,7.7955
37161495,764,434,3978.33921,30,4.2171706,11.2333
22114258,930,372,3963.84938,27,3.753783738,8.963
58907751,886,432,3952.59934,117,4.182114364,2.3932
21472963,894,467,3943.09947,103,4.196888438,2.3981
61765847,782,445,3934.33918,41,4.132646145,3.5122
59089143,792,395,3931.16918,56,4.400322517,5.3571
61154597,837,350,3884.45929,53,4.338962619,1.6604
59578232,824,116,3858.0692,88,4.061139447,0.875
59490408,962,513,3847.97941,171,3.803570621,1.5439
37350043,870,410,3791.11952,49,4.011658292,7.3878
21476267,840,454,3770.4396,24,4.103433015,1.5833
59076986,745,357,3762.40918,51,4.651097574,3.5686
22286370,697,319,3736.01901,33,4.170359361,6.6667
58642266,833,357,3697.38954,52,3.890025735,2.2308
21352906,774,405,3674.69917,64,4.11129566,3.7969
60540209,826,513,3668.36946,34,4.081465383,8.1176
22114197,683,244,3628.34884,20,4.475139282,31.75
20848665,690,442,3614.82917,28,4.756332352,2.8929
59564034,790,385,3612.24952,50,4.241818462,8.74
22283800,663,270,3580.07921,104,4.602071963,1.9904
21703021,995,429,3579.65984,101,3.221759336,2.9703
34343937,759,406,3578.17923,35,4.245923181,12
58262625,749,508,3573.04955,36,4.061659531,9.4722
37153512,715,353,3560.94933,13,4.37175232,20.3077
58883863,756,329,3546.8893,42,4.053050087,2.8571
60899623,936,284,3535.82971,52,3.889127952,6.5577
21592137,789,207,3514.8093,124,3.510177864,1.7823
60676826,794,387,3502.5595,29,4.152551065,17.7931
22283251,773,372,3502.00963,50,4.157430313,10.08
36338607,877,437,3491.17958,139,3.834377448,1.6043
58392864,673,412,3485.77919,31,4.739336019,3.3871
20739146,732,377,3480.26925,34,4.243186079,19.8529
21444732,774,311,3427.39945,40,4.002018019,3.95
62301350,616,318,3405.62907,22,4.499200831,17.1818
61045226,670,427,3393.20952,22,4.306195262,3.8182
58452703,786,368,3383.81953,32,3.754224885,16.0313
59564442,761,296,3365.8795,57,4.109404016,3.4561
59793790,642,120,3365.59892,47,4.388977587,1.1489
20693643,726,530,3291.67957,39,3.913884612,11.2564
58240099,717,374,3287.16933,38,4.024634851,5.6053
20943825,813,259,3232.97987,49,3.705184594,7.0204
58338429,642,407,3232.75935,29,4.337355545,7.5517
59566489,607,282,3220.44926,27,4.303017742,5.7778
58870832,673,324,3212.98933,18,4.320630119,1.5
25336169,608,295,3206.13924,22,4.784828091,6.3636
59913622,829,367,3205.26965,34,3.739608362,16.7059
22283257,702,355,3182.57934,45,4.122044429,6.1778
58983956,840,438,3178.72957,48,3.635551788,12.9167
59057988,691,443,3177.80953,31,3.934958379,8.1935
21688234,621,352,3165.03943,36,4.726220257,5.3889
23722085,724,336,3162.57947,26,3.879198441,12.1923
58239439,729,389,3162.10927,70,3.968539058,2.7714
59691053,683,449,3154.81944,87,4.027562164,1.908
21123217,586,351,3132.05921,38,4.548779286,3.3947
58645662,689,438,3129.26949,40,4.277118568,3.95
58613964,574,370,3121.46915,38,4.546540583,3.9211
36769106,623,415,3119.38948,27,4.270998798,5.3704
39937223,638,256,3117.65943,21,4.386589011,0.0476
22206723,703,401,3107.53948,47,3.912832256,1.9574
38983543,765,467,3104.50965,105,3.891278853,2.5238
59039674,692,382,3101.1295,71,3.616864239,2.6479
21701323,583,306,3096.66899,39,4.316151075,0.4359
37107316,701,325,3096.21954,63,3.480755173,4.5873
58645609,577,380,3087.04943,20,4.356918181,6.7
59564039,676,333,3082.34933,47,4.156606153,3.7021
22301160,681,116,3078.68948,62,3.938841322,0.7742
54013758,611,229,3044.25981,77,4.013138522,1.2987
