"date","item_sk","quantity"
"2015-01-02","11629829","70"
"2015-01-03","11629829","121"
"2015-01-04","11629829","101"
"2015-01-05","11629829","96"
"2015-01-06","11629829","130"
"2015-01-07","11629829","97"
"2015-01-08","11629829","283"
"2015-01-09","11629829","153"
"2015-01-10","11629829","190"
"2015-01-11","11629829","154"
"2015-01-12","11629829","257"
"2015-01-13","11629829","442"
"2015-01-14","11629829","263"
"2015-01-15","11629829","83"
"2015-01-16","11629829","136"
"2015-01-17","11629829","61"
"2015-01-18","11629829","105"
"2015-01-19","11629829","77"
"2015-01-20","11629829","135"
"2015-01-21","11629829","115"
"2015-01-22","11629829","90"
"2015-01-23","11629829","118"
"2015-01-24","11629829","104"
"2015-01-25","11629829","69"
"2015-01-26","11629829","178"
"2015-01-27","11629829","12"
"2015-01-28","11629829","99"
"2015-01-29","11629829","112"
"2015-01-30","11629829","141"
"2015-01-31","11629829","120"
"2015-02-01","11629829","143"
"2015-02-02","11629829","53"
"2015-02-03","11629829","115"
"2015-02-04","11629829","83"
"2015-02-05","11629829","118"
"2015-02-06","11629829","98"
"2015-02-07","11629829","55"
"2015-02-08","11629829","87"
"2015-02-09","11629829","110"
"2015-02-10","11629829","215"
"2015-02-11","11629829","67"
"2015-02-12","11629829","113"
"2015-02-13","11629829","97"
"2015-02-14","11629829","115"
"2015-02-15","11629829","22"
"2015-02-17","11629829","111"
"2015-02-18","11629829","124"
"2015-02-19","11629829","72"
"2015-02-20","11629829","71"
"2015-02-21","11629829","118"
"2015-02-22","11629829","67"
"2015-02-23","11629829","87"
"2015-02-24","11629829","100"
"2015-02-25","11629829","68"
"2015-02-26","11629829","119"
"2015-02-27","11629829","82"
"2015-02-28","11629829","130"
"2015-03-01","11629829","59"
"2015-03-02","11629829","38"
"2015-03-03","11629829","130"
"2015-03-04","11629829","77"
"2015-03-05","11629829","210"
"2015-03-06","11629829","219"
"2015-03-07","11629829","377"
"2015-03-08","11629829","235"
"2015-03-09","11629829","168"
"2015-03-10","11629829","494"
"2015-03-11","11629829","170"
"2015-03-12","11629829","70"
"2015-03-13","11629829","143"
"2015-03-14","11629829","155"
"2015-03-16","11629829","75"
"2015-03-17","11629829","139"
"2015-03-19","11629829","165"
"2015-03-20","11629829","161"
"2015-03-21","11629829","94"
"2015-03-22","11629829","85"
"2015-03-23","11629829","68"
"2015-03-24","11629829","176"
"2015-03-25","11629829","58"
"2015-03-26","11629829","83"
"2015-03-27","11629829","122"
"2015-03-28","11629829","117"
"2015-03-29","11629829","94"
"2015-03-30","11629829","56"
"2015-03-31","11629829","98"
"2015-04-01","11629829","89"
"2015-04-02","11629829","300"
"2015-04-04","11629829","308"
"2015-04-06","11629829","198"
"2015-04-07","11629829","261"
"2015-04-08","11629829","223"
"2015-04-09","11629829","137"
"2015-04-10","11629829","101"
